entrezgene	n_All_Pathways
100	8
4843	21
4282	4
847	12
5743	20
3162	14
1080	4
5243	14
5244	7
3329	6
3458	42
335	24
4312	20
5465	25
5468	25
9370	15
3146	19
1432	105
207	174
2247	41
355	30
3552	33
3553	48
356	25
4790	95
4803	25
5970	93
7040	67
7124	77
7132	23
7157	84
10673	3
115650	3
1236	13
1435	9
1437	19
2833	14
2919	15
2920	15
3566	8
3569	57
3576	43
3586	18
3592	20
3593	19
3596	9
3600	5
3605	5
3606	13
3627	19
3952	22
4982	8
50616	4
51561	3
6347	28
6348	14
6351	15
6352	21
6356	12
6364	12
6387	17
7422	37
85480	4
958	20
959	20
9966	2
3717	47
6774	72
1511	9
2147	31
2150	9
2908	15
7442	2
5054	24
6647	18
4615	31
1499	72
6696	20
7450	19
3383	24
6401	5
6403	8
7412	15
999	29
3827	18
4153	8
5265	8
5327	12
7056	8
718	22
720	11
721	7
727	18
54106	14
7097	18
7098	17
7099	28
10392	20
114548	8
4210	7
64127	21
7128	11
834	17
11277	1
90865	2
2214	8
2212	4
4313	17
4318	20
1906	16
5443	23
361	7
1991	6
177	17
6283	13
6288	25
1673	6
4314	7
7076	9
301	12
6863	8
4057	3
7018	10
11251	8
7432	8
796	9
3557	7
3659	17
2625	13
1401	11
4353	3
3934	1
7356	1
30009	2
4582	1
50943	2
6280	2
5806	2
56729	2
4879	2
6441	1
